codigo;familia;documentos;estado;implementacion;tests
EN-01-01;EN;01_PARAMETRIZACION_DE_LA_ENTIDAD.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-01-02;EN;01_PARAMETRIZACION_DE_LA_ENTIDAD.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-01-03;EN;01_PARAMETRIZACION_DE_LA_ENTIDAD.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-01-04;EN;01_PARAMETRIZACION_DE_LA_ENTIDAD.md;IMPLEMENTADO;casos-uso/ejercicios.ts;paso01.spec.ts
EN-01-05;EN;01_PARAMETRIZACION_DE_LA_ENTIDAD.md;PENDIENTE;;
EN-01-06;EN;01_PARAMETRIZACION_DE_LA_ENTIDAD.md;PENDIENTE;;
EN-02-01;EN;02_INVENTARIO_FISICO_Y_PLAQUETEO.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-02-02;EN;02_INVENTARIO_FISICO_Y_PLAQUETEO.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-02-03;EN;02_INVENTARIO_FISICO_Y_PLAQUETEO.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-02-04;EN;02_INVENTARIO_FISICO_Y_PLAQUETEO.md;PENDIENTE;;
EN-02-05;EN;02_INVENTARIO_FISICO_Y_PLAQUETEO.md;PENDIENTE;;
EN-02-06;EN;02_INVENTARIO_FISICO_Y_PLAQUETEO.md;PENDIENTE;;
EN-03-01;EN;03_HOJA_DE_VIDA_DE_BIENES.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-03-02;EN;03_HOJA_DE_VIDA_DE_BIENES.md;PENDIENTE;;
EN-03-03;EN;03_HOJA_DE_VIDA_DE_BIENES.md;PENDIENTE;;
EN-03-04;EN;03_HOJA_DE_VIDA_DE_BIENES.md;PENDIENTE;;
EN-03-05;EN;03_HOJA_DE_VIDA_DE_BIENES.md;PENDIENTE;;
EN-04-01;EN;04_CONCILIACION_FISICO_CONTABLE.md;PENDIENTE;;
EN-04-02;EN;04_CONCILIACION_FISICO_CONTABLE.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-04-03;EN;04_CONCILIACION_FISICO_CONTABLE.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-04-04;EN;04_CONCILIACION_FISICO_CONTABLE.md;PENDIENTE;;
EN-04-05;EN;04_CONCILIACION_FISICO_CONTABLE.md;PENDIENTE;;
EN-04-06;EN;04_CONCILIACION_FISICO_CONTABLE.md;PENDIENTE;;
EN-05-01;EN;05_INDICE_DE_OBSOLESCENCIA.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-05-02;EN;05_INDICE_DE_OBSOLESCENCIA.md;PENDIENTE;;
EN-05-03;EN;05_INDICE_DE_OBSOLESCENCIA.md;PENDIENTE;;
EN-05-04;EN;05_INDICE_DE_OBSOLESCENCIA.md;PENDIENTE;;
EN-05-05;EN;05_INDICE_DE_OBSOLESCENCIA.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-06-01;EN;06_DEPRECIACION_Y_DETERIORO.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-06-02;EN;06_DEPRECIACION_Y_DETERIORO.md;PENDIENTE;;
EN-06-03;EN;06_DEPRECIACION_Y_DETERIORO.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-06-04;EN;06_DEPRECIACION_Y_DETERIORO.md;PENDIENTE;;
EN-06-05;EN;06_DEPRECIACION_Y_DETERIORO.md;PENDIENTE;;
EN-06-06;EN;06_DEPRECIACION_Y_DETERIORO.md;PENDIENTE;;
EN-07-01;EN;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
EN-07-02;EN;07_VALUACION_TECNICA_DE_MUEBLES.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-07-03;EN;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
EN-07-04;EN;07_VALUACION_TECNICA_DE_MUEBLES.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-07-05;EN;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
EN-07-06;EN;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
EN-08-01;EN;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
EN-08-02;EN;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
EN-08-03;EN;08_VALUACION_DE_INMUEBLES.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;PENDIENTE;;
EN-08-04;EN;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
EN-08-05;EN;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
EN-08-06;EN;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
